SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalPrice
1,27527,5144,2023-07-17,3,697.74
2,5336,6831,2025-03-05,2,765.02
3,19729,48757,2025-06-08,3,488.31
4,46116,36206,2023-11-09,1,324.23
5,18413,23127,2024-11-05,4,1758.04
6,24626,38227,2024-07-27,1,70.1
7,36969,11279,2025-05-14,3,235.2
8,20420,21939,2025-01-03,3,1137.93
9,8800,16809,2024-08-03,3,223.98
10,34498,29450,2024-04-26,5,221.9
11,22962,42117,2025-01-23,4,440.76
12,43060,16342,2024-11-13,5,2324.5
13,867,34362,2024-05-10,5,2355.5
14,6577,30022,2024-05-10,3,831.6
15,11499,16795,2024-12-12,3,1282.86
16,30235,23656,2024-09-11,3,603.12
17,13442,4148,2023-09-16,3,87.78
18,30222,42322,2024-11-15,3,187.26
19,1752,8769,2024-09-01,3,644.46
20,32953,31024,2025-06-04,5,331.35
21,12931,8555,2023-06-27,5,70.0
22,18155,14907,2023-11-21,1,223.87
23,39587,10322,2024-03-08,1,296.78
24,26392,40762,2024-08-19,5,958.8
25,47424,12958,2024-04-22,2,365.4
26,26559,14462,2024-11-20,2,809.3
27,47636,12551,2024-03-16,2,824.9
28,16590,26398,2024-12-21,1,179.67
29,6902,30689,2025-03-03,4,1991.76
30,42482,15559,2025-01-06,5,1406.0
31,12043,49501,2023-11-29,5,341.6
32,14817,13502,2025-03-25,4,1320.12
33,21744,11533,2023-12-11,2,619.32
34,35010,47927,2025-06-02,4,1134.56
35,10526,25495,2024-02-23,1,139.64
36,27928,7393,2025-04-22,4,156.16
37,25409,14311,2024-01-10,1,369.85
38,6505,48296,2024-09-21,4,1465.36
39,35286,41171,2025-02-18,4,1715.72
40,33543,26462,2024-02-14,1,57.49
41,2416,32132,2024-07-30,3,296.88
42,19206,11123,2024-11-09,2,383.42
43,35109,33878,2025-02-19,2,910.86
44,12309,288,2023-07-09,2,720.16
45,31051,22854,2024-09-27,1,192.5
46,47708,26492,2024-08-11,1,400.57
47,37405,31683,2025-01-25,2,818.26
48,28308,34299,2023-08-29,5,864.2
49,15762,44476,2024-07-20,2,909.56
50,21676,37881,2024-08-11,3,1236.09
51,32238,40430,2025-01-03,3,214.59
52,26160,30162,2024-01-04,1,486.25
53,578,41518,2024-09-17,1,222.91
54,34731,40643,2025-05-22,5,871.25
55,19417,11846,2024-05-08,4,711.52
56,31356,7147,2024-09-28,5,345.3
57,45771,31848,2025-05-14,5,535.25
58,15600,1451,2024-12-26,3,1236.03
59,44389,21190,2025-03-19,3,487.53
60,15234,3348,2025-04-16,2,288.94
61,33334,5153,2024-10-22,5,1128.4
62,2479,13811,2025-02-02,3,882.99
63,39169,10626,2025-03-18,1,317.09
64,48758,30283,2025-01-29,4,475.56
65,15176,1089,2023-12-22,5,1588.65
66,8909,19800,2024-07-09,5,697.3
67,30391,40490,2024-10-14,4,195.76
68,22955,48544,2023-11-27,4,947.6
69,35811,10371,2025-01-06,5,78.05
70,43690,3054,2025-03-06,5,142.5
71,27004,39899,2024-01-12,4,1257.64
72,33603,14796,2024-06-24,3,1019.67
73,38533,25222,2024-05-29,1,209.07
74,32771,8291,2023-08-20,1,199.04
75,33807,10099,2024-08-29,3,591.21
76,15585,23639,2023-06-29,1,422.92
77,25894,42288,2025-03-28,4,1335.28
78,9972,22757,2025-06-09,5,2132.25
79,6435,704,2023-09-20,2,911.32
80,31906,17261,2024-10-19,3,497.76
81,43109,27956,2024-12-04,4,1100.76
82,25960,517,2025-03-16,4,509.64
83,40591,28357,2024-08-11,2,130.86
84,30034,19679,2024-06-17,4,1667.44
85,27731,20899,2023-08-03,5,1781.6
86,49347,15588,2025-05-05,3,376.41
87,28835,49415,2024-12-02,4,357.96
88,24301,35220,2024-06-04,2,801.92
89,45731,6602,2024-11-13,2,42.3
90,37361,31949,2025-01-13,1,51.77
91,29158,15679,2023-06-25,4,1734.8
92,35829,41093,2024-03-10,2,220.88
93,6323,35114,2023-10-29,3,1223.91
94,32623,39146,2023-10-03,3,700.86
95,3814,5113,2024-11-27,1,351.19
96,47167,35293,2023-08-23,5,2384.3
97,36947,19775,2024-07-10,1,312.08
98,11408,6986,2024-05-30,1,447.34
99,15810,22763,2024-09-19,5,1366.7
100,12474,8158,2025-03-28,3,597.96
101,29785,16099,2023-06-24,1,394.8
102,28286,31164,2024-06-04,5,2250.2
103,24695,36660,2025-04-02,4,413.16
