TransactionID,SaleID,TransactionDate,PaymentMethod
1,15963,2024-07-24,Debit Card
2,47244,2024-06-16,Cash
3,33784,2024-09-27,Credit Card
4,19083,2025-05-28,Credit Card
5,20587,2025-06-05,Credit Card
6,15709,2025-06-09,Debit Card
7,34839,2025-06-20,Credit Card
8,1018,2025-04-26,Debit Card
9,13727,2024-12-11,Credit Card
10,27475,2024-07-18,Debit Card
11,10221,2024-12-31,UPI
12,14653,2025-06-01,Debit Card
13,3194,2025-01-17,UPI
14,3345,2025-04-09,Credit Card
15,6850,2024-04-17,Debit Card
16,49127,2025-05-20,PayPal
17,27384,2025-03-08,Credit Card
18,30421,2025-06-16,Debit Card
19,35181,2024-07-23,PayPal
20,18456,2025-02-21,Cash
21,2384,2025-02-27,UPI
22,21874,2023-09-11,Credit Card
23,15576,2024-06-05,Debit Card
24,41737,2025-06-04,Cash
25,168,2025-05-24,Credit Card
26,34035,2025-04-03,Debit Card
27,23982,2025-05-08,Debit Card
28,48071,2024-09-21,Debit Card
29,7892,2025-06-19,Debit Card
30,25722,2025-05-06,Cash
31,35943,2024-12-04,Cash
32,16323,2024-11-17,Debit Card
33,274,2025-05-10,UPI
34,11443,2025-02-17,UPI
35,58,2025-02-25,Cash
36,30030,2024-04-13,PayPal
37,12565,2024-01-13,PayPal
38,9579,2024-04-23,Debit Card
39,15424,2025-06-14,PayPal
40,43995,2025-03-16,UPI
41,26048,2025-05-19,Cash
42,1850,2025-03-04,Credit Card
43,11966,2025-06-02,UPI
44,21585,2025-06-17,Debit Card
45,25993,2025-05-14,PayPal
46,28197,2025-01-22,Credit Card
47,11458,2025-06-08,PayPal
48,19195,2024-09-18,Cash
49,43551,2025-03-14,Debit Card
50,19448,2024-05-12,PayPal
51,21881,2024-05-17,Cash
52,25873,2025-06-05,UPI
53,6125,2025-06-20,Cash
54,48269,2024-02-08,Cash
55,15293,2025-06-11,PayPal
56,43339,2025-04-18,PayPal
57,16957,2024-05-14,Cash
58,13760,2024-03-22,UPI
59,28791,2024-12-02,Debit Card
60,15978,2025-02-28,UPI
61,1980,2024-04-06,Cash
62,37942,2025-05-29,PayPal
63,27819,2025-06-10,PayPal
64,44242,2024-10-21,Credit Card
65,16725,2024-09-12,PayPal
66,70,2025-06-14,UPI
67,12051,2025-03-23,Credit Card
68,44022,2025-05-10,Debit Card
69,16123,2025-05-11,Debit Card
70,48022,2025-03-24,PayPal
71,48925,2025-03-17,PayPal
72,12538,2024-10-22,PayPal
73,36667,2025-01-01,UPI
74,4312,2024-08-19,Cash
75,18762,2025-03-27,Credit Card
76,6091,2024-02-24,Cash
77,25224,2024-09-10,Credit Card
78,18657,2024-12-06,PayPal
79,30840,2024-11-16,Debit Card
80,3589,2023-12-12,Credit Card
81,8771,2024-04-24,UPI
82,18898,2025-02-02,Cash
83,47171,2025-01-04,UPI
84,43059,2024-09-19,UPI
85,31624,2024-10-01,Credit Card
86,16323,2025-03-27,Credit Card
87,33876,2024-08-17,Cash
88,8627,2025-03-01,Cash
89,30106,2024-12-17,UPI
90,27950,2025-03-19,UPI
91,26658,2025-06-10,Credit Card
92,30669,2024-04-26,UPI
93,41245,2023-09-21,Cash
94,46390,2025-05-24,Debit Card
95,20104,2023-11-27,Credit Card
96,29316,2024-06-04,Debit Card
97,20998,2024-07-24,PayPal
98,5281,2024-11-02,Credit Card
99,43414,2024-09-01,Cash
100,3547,2025-03-28,UPI
101,38795,2025-02-05,PayPal
102,29943,2025-01-23,Cash
103,13316,2024-09-22,PayPal
104,2526,2024-10-09,PayPal
105,18299,2025-02-08,Credit Card
106,9341,2025-04-05,Cash
107,20639,2024-07-21,Credit Card
108,45008,2025-01-30,Credit Card
109,2239,2025-03-03,PayPal
110,6141,2024-04-12,Debit Card
111,26547,2024-02-04,UPI
112,15812,2025-06-08,Cash
113,629,2023-11-02,Cash
114,39544,2023-12-18,UPI
115,15058,2024-04-17,Cash
116,45363,2025-01-19,Cash
117,37821,2025-03-12,UPI
118,10850,2025-02-12,Credit Card
119,24914,2024-06-20,PayPal
120,8708,2024-11-22,Credit Card
121,25760,2025-05-17,Credit Card
122,9391,2024-12-03,Cash
123,13691,2025-06-19,Cash
124,22915,2025-01-10,UPI
125,29578,2024-06-18,UPI
126,48601,2025-01-03,UPI
127,22729,2024-07-07,Cash
128,3701,2024-07-04,Cash
129,22852,2025-06-17,Credit Card
130,47160,2023-08-13,PayPal
131,33190,2025-06-02,UPI
132,9443,2025-06-17,Debit Card
133,19317,2025-01-11,Cash
134,37260,2025-04-10,Debit Card
135,13372,2025-02-10,PayPal
136,16548,2023-11-14,Debit Card
137,46331,2025-01-29,Cash
138,46173,2025-06-12,UPI
139,31051,2025-03-21,Cash
140,26539,2025-03-11,Cash
141,41939,2025-05-23,UPI
142,31260,2024-10-26,PayPal
143,6776,2024-09-08,UPI
144,21982,2024-12-05,PayPal
145,46200,2025-05-26,UPI
146,21728,2024-02-06,PayPal
147,4579,2025-03-29,UPI
148,42898,2024-10-29,Cash
149,15296,2025-04-03,Credit Card
150,4501,2025-04-30,PayPal
151,12223,2024-01-16,PayPal
152,35042,2024-09-19,UPI
153,40851,2025-05-19,UPI
154,27467,2024-10-03,Debit Card
155,3473,2024-05-01,Cash
156,13393,2025-06-12,PayPal
157,38162,2024-11-21,Debit Card
158,14106,2025-03-09,PayPal
159,35675,2025-05-01,PayPal
160,12696,2025-06-20,UPI
161,29213,2025-06-19,Credit Card
162,44048,2025-05-14,UPI
163,18884,2024-10-01,Debit Card
164,11643,2025-01-02,Cash
165,27279,2025-05-04,Credit Card
166,24087,2025-05-30,Credit Card
167,16826,2025-04-28,Cash
168,35826,2024-09-13,Cash
169,35255,2025-01-07,Credit Card
170,46109,2024-10-20,Debit Card
171,34658,2025-06-13,Debit Card
172,49751,2025-02-01,UPI
173,41788,2025-06-15,PayPal
174,25703,2025-06-11,UPI
175,44102,2024-04-09,Cash
176,36317,2024-05-17,Debit Card
177,36070,2024-10-16,Debit Card
178,2902,2025-03-16,Credit Card
179,24580,2024-12-12,UPI
180,37240,2024-06-23,Debit Card
181,23230,2024-09-08,Credit Card
182,35913,2024-04-08,Cash
183,4119,2024-05-24,Debit Card
184,28598,2025-06-04,Credit Card
185,32224,2024-10-29,UPI
186,31708,2025-05-22,Cash
187,3494,2025-06-17,Credit Card
188,19989,2025-06-04,PayPal
189,40704,2025-04-29,PayPal
190,44892,2024-10-29,PayPal
191,3057,2024-12-16,Debit Card
192,39861,2025-03-01,Debit Card
193,21100,2024-06-03,UPI
194,19750,2025-01-05,UPI
195,22260,2024-09-21,Cash
196,7361,2024-02-27,Cash
197,27904,2025-06-20,Cash
198,45639,2025-06-17,Debit Card
199,29127,2025-02-18,Debit Card
200,26006,2024-12-01,PayPal
201,27666,2024-08-24,Cash
202,17102,2025-05-14,Cash
203,1375,2024-03-12,PayPal
204,10889,2025-02-27,Credit Card
205,50,2025-02-15,Debit Card
206,38132,2025-05-03,Cash
207,35495,2025-06-20,Debit Card
208,21169,2025-01-29,Debit Card
209,40069,2025-05-30,Cash
210,18152,2025-01-29,Debit Card
211,16634,2025-02-15,Debit Card
212,44066,2025-06-18,Debit Card
213,23710,2025-05-05,Cash
214,35402,2024-09-21,UPI
215,26640,2025-03-28,PayPal
216,7600,2024-12-06,Credit Card
217,4760,2024-11-13,PayPal
218,49088,2025-04-29,Debit Card
219,40123,2024-10-18,Cash
220,6131,2025-05-17,Credit Card
221,8866,2024-09-02,PayPal
222,48446,2025-03-29,PayPal
223,31281,2025-06-05,PayPal
224,34711,2024-12-16,Debit Card
225,2870,2024-02-17,Debit Card
226,40497,2024-04-24,UPI
227,49946,2024-12-18,PayPal
228,48866,2025-02-23,Debit Card
229,32510,2024-05-07,Cash
230,47496,2025-02-23,PayPal
231,26053,2025-06-06,Cash
232,48977,2023-11-19,PayPal
233,533,2025-03-26,Credit Card
234,36262,2025-06-09,Cash
235,13028,2024-10-25,Cash
236,49050,2025-06-06,UPI
237,39505,2025-01-14,Debit Card
238,961,2024-10-29,Cash
239,39870,2025-01-04,Cash
240,5310,2024-09-16,Credit Card
241,16243,2025-04-09,PayPal
242,35609,2024-04-20,Cash
243,26056,2025-02-04,Cash
244,19154,2024-06-14,UPI
245,47389,2024-06-18,UPI
246,18555,2025-06-20,Credit Card
247,21675,2025-01-30,Cash
248,22507,2025-05-04,UPI
249,48996,2024-11-22,PayPal
250,10604,2025-06-16,Credit Card
251,19388,2025-04-30,Cash
252,30802,2024-07-01,UPI
253,46040,2025-04-15,PayPal
254,48754,2024-12-05,Cash
255,38467,2025-03-30,Debit Card
256,21289,2025-03-13,PayPal
257,16779,2024-06-13,Cash
258,25690,2024-11-12,Debit Card
259,47930,2023-10-07,PayPal
260,8550,2025-02-08,Debit Card
261,3597,2024-04-18,PayPal
262,23063,2025-05-22,UPI
263,28749,2025-02-27,Debit Card
264,21777,2025-05-12,Credit Card
265,10814,2024-11-28,Credit Card
266,42778,2024-10-24,Cash
267,23890,2024-10-12,Debit Card
268,36331,2025-03-03,Cash
269,12846,2025-06-20,UPI
270,30212,2024-11-11,UPI
271,33075,2023-11-25,Credit Card
272,7938,2024-07-26,Credit Card
273,27506,2025-01-16,Cash
274,25836,2024-09-11,UPI
275,35655,2025-03-13,UPI
276,3524,2025-06-04,Cash
277,24404,2025-04-17,Cash
278,7619,2023-12-24,Credit Card
279,33243,2025-06-17,Cash
280,43877,2025-06-07,Credit Card
281,14833,2024-05-11,Debit Card
282,46565,2024-11-07,PayPal
283,12167,2025-02-02,Debit Card
284,9976,2025-06-20,Credit Card
285,7727,2024-08-24,UPI
286,3497,2025-06-16,PayPal
287,11640,2024-10-02,Cash
288,30068,2023-12-09,Cash
289,46158,2024-06-15,PayPal
290,44252,2024-11-30,UPI
291,17101,2025-06-16,Credit Card
292,16904,2025-04-13,Cash
293,43333,2024-05-20,UPI
294,46037,2025-05-15,Cash
295,36361,2025-05-27,Cash
296,23222,2024-11-18,PayPal
297,40807,2024-09-07,Credit Card
298,13352,2025-03-23,UPI
299,29407,2024-02-04,Credit Card
300,42206,2025-05-11,Cash
301,28209,2025-05-17,Cash
302,13424,2025-01-09,PayPal
303,14087,2025-02-27,PayPal
304,40787,2024-11-04,UPI
305,15364,2024-12-16,Credit Card
306,2825,2024-11-25,PayPal
307,45109,2023-12-02,Debit Card
308,45794,2025-03-18,UPI
309,22328,2024-07-02,Debit Card
310,33082,2024-10-31,UPI
311,5754,2024-03-29,UPI
312,19651,2024-01-24,Debit Card
313,40848,2025-03-31,UPI
314,32379,2024-09-21,Debit Card
315,17144,2024-12-02,Cash
316,42186,2025-05-05,UPI
317,35250,2025-06-15,UPI
318,3379,2024-12-19,UPI
319,3610,2025-06-17,UPI
320,14465,2024-07-26,Debit Card
321,32085,2024-12-26,Cash
322,18375,2024-08-17,Debit Card
323,17406,2024-09-03,UPI
324,27787,2024-07-24,Credit Card
325,22150,2025-05-20,Cash
326,33941,2025-06-14,PayPal
327,32271,2025-03-12,Credit Card
328,36193,2025-05-30,PayPal
329,40972,2024-07-22,Debit Card
330,40372,2025-06-08,PayPal
331,2376,2025-01-14,Debit Card
332,46660,2025-05-27,Credit Card
333,48525,2025-05-08,UPI
334,26143,2023-07-11,Credit Card
335,32106,2025-04-24,Cash
336,29016,2025-01-19,PayPal
337,27449,2025-04-20,PayPal
338,12607,2024-05-08,Credit Card
339,44552,2025-06-17,UPI
340,47652,2025-05-20,UPI
341,37857,2025-05-08,UPI
342,4229,2024-03-13,Credit Card
343,15191,2025-04-22,Cash
344,31178,2024-10-05,Debit Card
345,44809,2025-01-25,PayPal
346,38277,2024-04-28,UPI
347,20863,2025-01-25,PayPal
348,35324,2025-06-20,Credit Card
349,23934,2025-01-14,Cash
350,9339,2025-03-17,Credit Card
351,2361,2025-05-30,Cash
352,10492,2025-05-04,Credit Card
353,30340,2024-03-22,Credit Card
354,24039,2024-07-10,Cash
355,24534,2024-12-16,Debit Card
356,23053,2024-03-29,Cash
357,20941,2025-04-01,Credit Card
358,29040,2024-12-06,PayPal
359,9435,2025-05-21,UPI
360,14445,2025-03-10,Debit Card
361,49351,2024-11-14,Credit Card
362,38782,2025-03-14,Debit Card
363,41228,2023-10-04,Credit Card
364,31232,2024-05-28,PayPal
365,48288,2024-09-29,Debit Card
366,24109,2025-05-03,Credit Card
367,10186,2024-06-28,UPI
368,44581,2024-12-23,Cash
369,26116,2025-02-18,Cash
370,33258,2025-02-20,UPI
371,6433,2025-06-11,UPI
372,41197,2025-06-10,Cash
373,8883,2024-06-02,Cash
374,27421,2024-04-20,Cash
375,44703,2025-02-12,Credit Card
376,13618,2025-06-14,Cash
377,44991,2025-06-19,Credit Card
378,24796,2025-06-03,Credit Card
379,31863,2025-02-14,PayPal
380,45540,2025-04-30,UPI
381,32734,2024-09-11,Credit Card
382,4176,2024-01-08,Debit Card
383,15431,2025-06-15,Debit Card
384,30510,2025-02-21,Debit Card
385,45489,2024-02-17,UPI
386,12912,2025-03-15,UPI
387,19576,2024-05-25,Cash
388,20133,2024-04-14,UPI
389,44208,2025-03-02,Credit Card
390,44397,2025-04-23,PayPal
391,25049,2025-04-09,PayPal
392,10087,2025-06-09,PayPal
393,2519,2025-06-20,Credit Card
394,19999,2024-10-31,Cash
395,33318,2024-04-13,Cash
396,34986,2025-05-27,Cash
397,14634,2024-10-06,Cash
398,10678,2025-04-09,Debit Card
399,27052,2025-06-04,UPI
400,48714,2024-10-08,UPI
401,39498,2024-11-15,PayPal
402,49985,2024-04-29,Debit Card
403,46519,2025-06-09,UPI
404,14151,2025-06-02,Debit Card
405,44227,2025-05-20,UPI
406,15452,2025-01-22,Credit Card
407,9557,2025-01-08,Credit Card
408,22904,2025-02-01,PayPal
409,17965,2025-03-26,Cash
410,13154,2024-03-17,PayPal
411,38444,2023-12-14,Cash
412,47889,2025-05-03,Credit Card
413,46967,2025-02-04,PayPal
414,15649,2025-03-31,Cash
415,4380,2025-04-06,UPI
416,46713,2025-04-18,Debit Card
417,20093,2025-03-02,Cash
418,43418,2024-10-02,PayPal
419,33930,2025-06-12,UPI
420,35606,2024-09-14,Credit Card
421,44882,2024-12-03,Debit Card
422,21634,2024-12-27,PayPal
423,36378,2025-04-17,Credit Card
424,34012,2025-01-04,Credit Card
425,26843,2025-05-30,PayPal
426,31560,2025-03-19,UPI
427,40009,2025-05-11,PayPal
428,20318,2025-04-01,UPI
429,31241,2024-10-16,UPI
430,26495,2025-06-04,Debit Card
431,12165,2025-06-17,Credit Card
432,25929,2024-12-18,PayPal
433,4090,2025-04-16,Cash
434,13934,2024-05-12,Cash
435,41073,2025-01-09,Debit Card
436,16273,2025-03-08,UPI
437,42531,2024-12-11,UPI
438,32896,2025-06-20,Debit Card
439,13512,2025-06-15,Credit Card
440,38295,2024-12-24,UPI
441,49584,2024-07-04,Credit Card
442,20232,2025-05-06,UPI
443,11100,2025-05-23,UPI
444,3848,2025-06-15,Credit Card
445,32715,2024-11-11,Cash
446,21506,2024-07-31,PayPal
447,38043,2025-05-24,UPI
448,11419,2025-02-14,Cash
449,31821,2024-03-24,Debit Card
450,22061,2024-11-19,PayPal
451,33655,2024-07-29,Credit Card
452,49606,2024-02-28,Credit Card
453,1587,2025-04-02,Cash
454,25751,2025-06-09,Cash
455,28244,2025-06-19,PayPal
456,38101,2024-12-21,Debit Card
457,26803,2024-12-30,Cash
458,45330,2025-02-18,PayPal
459,23141,2025-04-24,UPI
460,12292,2025-06-11,Credit Card
461,44238,2025-04-29,UPI
462,7255,2025-02-20,Credit Card
463,30016,2024-03-10,Cash
464,12837,2024-10-02,PayPal
465,49469,2024-04-02,Debit Card
466,15341,2025-05-19,Cash
467,36404,2025-01-03,UPI
468,34897,2025-06-16,UPI
469,14317,2024-04-29,Credit Card
470,1331,2025-06-17,Debit Card
471,22151,2025-06-04,PayPal
472,30232,2025-05-03,Credit Card
473,2385,2025-06-19,Debit Card
474,11412,2024-12-26,PayPal
475,29688,2025-05-24,Credit Card
476,4022,2025-04-12,PayPal
477,49293,2024-09-29,UPI
478,13387,2024-05-30,UPI
479,24984,2025-05-26,Cash
480,10236,2024-07-16,Credit Card
481,30186,2024-12-30,Cash
482,2674,2025-06-03,Credit Card
483,4274,2024-10-20,Debit Card
484,36794,2024-09-10,UPI
485,36689,2025-02-18,PayPal
486,35059,2024-09-30,PayPal
487,37090,2025-02-01,Credit Card
488,49276,2025-05-26,UPI
489,8530,2025-04-19,Debit Card
490,16780,2024-10-16,Debit Card
491,40395,2025-05-17,UPI
492,12599,2025-05-31,UPI
493,7705,2023-10-26,Cash
494,41449,2025-05-29,Debit Card
495,5350,2025-04-13,Credit Card
496,49996,2024-11-27,Cash
497,46438,2025-04-19,UPI
498,18496,2025-01-06,Credit Card
499,32907,2024-10-03,PayPal
500,41507,2024-08-28,PayPal
501,43348,2025-02-28,Cash
502,20062,2024-11-30,Debit Card
503,13100,2024-11-03,Cash
504,2568,2025-04-25,PayPal
505,44848,2025-01-03,Credit Card
506,33020,2025-01-09,UPI
507,9759,2024-07-06,Cash
508,15496,2024-10-10,UPI
509,28672,2024-07-06,PayPal
510,11486,2025-06-06,PayPal
511,19702,2025-05-23,Cash
512,4179,2025-04-24,PayPal
513,20791,2023-12-15,Credit Card
514,15614,2024-04-07,Debit Card
515,14313,2024-06-01,Debit Card
516,40396,2025-03-05,UPI
517,26300,2025-01-11,Cash
518,12834,2024-04-19,Cash
519,7082,2025-06-04,UPI
520,47379,2025-01-25,UPI
521,29249,2025-02-23,Credit Card
522,864,2025-02-17,UPI
523,27137,2025-06-16,Credit Card
524,710,2023-11-05,Cash
525,448,2024-04-26,UPI
